FOODID;FOODUNIT;MASS
1;PORTM;4,00
1;PORTL;8,00
1;KPL_S;2,00
1;KPL_M;3,00
1;KPL_L;4,00
1;DL;85,00
1;RKL;12,00
1;TL;4,00
1;PORT1000KJ;58,88
1;PORTS;2,00
2;PORTL;8,00
2;PORTM;4,00
2;DL;85,00
2;RKL;12,00
2;TL;4,00
2;PORT1000KJ;58,94
2;PORTS;2,00
3;DL;140,00
3;RKL;20,00
3;TL;6,50
3;PORT1000KJ;79,28
3;PORTS;5,00
3;PORTM;15,00
3;PORTL;30,00
4;DL;140,00
4;RKL;20,00
4;TL;6,50
4;PORT1000KJ;72,35
4;PORTS;5,00
4;PORTM;15,00
4;PORTL;30,00
5;KPL_S;2,00
5;KPL_M;3,00
5;KPL_L;7,50
5;DL;45,00
5;PORT1000KJ;67,23
5;PORTS;30,00
5;PORTM;80,00
5;PORTL;140,00
6;KPL_S;100,00
6;KPL_M;170,00
6;KPL_L;300,00
6;PORT1000KJ;45,86
6;PORTS;40,00
6;PORTM;100,00
6;PORTL;200,00
7;PORTL;100,00
7;KPL_M;8,00
7;PORT1000KJ;56,46
7;PORTS;15,00
7;PORTM;30,00
8;KPL_M;4,00
8;PORT1000KJ;91,23
8;PORTS;15,00
8;PORTM;40,00
8;PORTL;80,00
9;KPL_L;30,00
9;PORT1000KJ;76,94
9;PORTS;30,00
9;PORTM;80,00
9;PORTL;140,00
10;PORTL;65,00
10;PORTM;20,00
10;PORTS;10,00
10;RKL;20,00
10;PORT1000KJ;49,07
11;KPL_M;5,00
11;PORT1000KJ;57,12
11;PORTS;30,00
11;PORTM;80,00
11;PORTL;140,00
12;KPL_M;0,50
12;PORT1000KJ;80,64
12;PORTS;30,00
12;PORTM;80,00
12;PORTL;140,00
14;KPL_S;20,00
14;KPL_M;45,00
14;KPL_L;60,00
14;PORT1000KJ;46,82
14;PORTS;20,00
14;PORTM;40,00
14;PORTL;80,00
20;DL;40,00
20;RKL;6,00
20;TL;3,00
20;PORT1000KJ;64,62
20;PORTM;20,00
20;PORTL;30,00
20;PORTS;12,00
21;DL;40,00
21;RKL;6,00
21;TL;3,00
21;PORT1000KJ;59,80
21;PORTS;12,00
21;PORTM;20,00
21;PORTL;30,00
24;PORT1000KJ;100,00
24;PORTL;3,00
24;PORTM;2,00
24;PORTS;1,00
25;RKL;9,00
25;TL;3,00
25;PORT1000KJ;68,52
25;PORTS;5,00
25;PORTM;15,00
25;PORTL;30,00
26;KPL_M;50,00
26;PORTL;30,00
26;PORTM;15,00
26;PORTS;5,00
26;PORT1000KJ;320,70
27;DL;55,00
27;RKL;7,00
27;PORTL;30,00
27;PORTM;15,00
27;PORTS;5,00
27;PORT1000KJ;67,11
28;DL;110,00
28;RKL;16,00
28;TL;5,00
28;PORT1000KJ;181,93
28;PORTS;5,00
28;PORTL;30,00
28;PORTM;10,00
29;DL;100,00
29;RKL;15,00
29;TL;5,00
29;PORT1000KJ;1264,06
29;PORTS;200,00
29;PORTM;300,00
29;PORTL;400,00
30;DL;125,00
30;RKL;20,00
30;TL;6,50
30;PORT1000KJ;9337,07
30;PORTS;1,00
30;PORTM;2,00
30;PORTL;3,00
31;DL;120,00
31;RKL;18,00
31;TL;6,00
31;PORT1000KJ;396,28
31;PORTS;5,00
31;PORTM;15,00
31;PORTL;30,00
32;KPL_S;45,00
32;KPL_M;100,00
32;KPL_L;200,00
32;PORT1000KJ;45,92
32;PORTS;15,00
32;PORTM;30,00
32;PORTL;100,00
33;PORTS;15,00
33;PORTM;30,00
33;PORTL;100,00
33;KPL_S;45,00
33;KPL_M;100,00
33;KPL_L;200,00
33;PORT1000KJ;44,23
34;PORTM;20,00
34;PORTS;10,00
34;DL;100,00
34;RKL;15,00
34;PORT1000KJ;61,17
34;PORTL;30,00
35;KPL_S;2,00
35;KPL_M;3,00
35;KPL_L;7,50
35;PORT1000KJ;123,15
35;PORTS;30,00
35;PORTM;80,00
35;PORTL;140,00
36;DL;125,00
36;RKL;20,00
36;TL;6,50
36;PORT1000KJ;18975,33
36;PORTS;1,00
36;PORTM;2,00
36;PORTL;3,00
37;KPL_S;45,00
37;KPL_M;100,00
37;PORT1000KJ;50,89
37;PORTS;15,00
37;PORTM;30,00
37;PORTL;100,00
38;DL;75,00
38;RKL;11,00
38;TL;3,50
38;PORT1000KJ;80,09
38;PORTS;5,00
38;PORTM;15,00
38;PORTL;30,00
39;TL;0,50
39;PORT1000KJ;58,82
39;PORTS;0,10
39;PORTM;0,30
39;PORTL;0,50
40;KPL_M;30,00
40;PORT1000KJ;56,71
40;PORTS;30,00
40;PORTM;60,00
40;PORTL;120,00
43;PORT1000KJ;58,75
43;PORTS;5,00
43;PORTM;15,00
43;PORTL;30,00
44;KPL_S;20,00
44;KPL_M;45,00
44;KPL_L;60,00
44;PORT1000KJ;46,94
44;PORTS;20,00
44;PORTM;40,00
44;PORTL;80,00
62;PORTL;5,00
62;PORTS;1,00
62;PORTM;2,00
62;KPL_M;2,50
62;PORT1000KJ;98,91
63;KPL_S;20,00
63;KPL_M;45,00
63;KPL_L;60,00
63;PORT1000KJ;56,51
63;PORTS;20,00
63;PORTM;40,00
63;PORTL;80,00
65;PORTM;2,00
65;KPL_M;1,00
65;PORT1000KJ;129,33
65;PORTS;1,00
65;PORTL;5,00
66;PORTM;2,00
66;KPL_M;3,00
66;PORT1000KJ;62,69
66;PORTS;1,00
66;PORTL;5,00
68;DL;55,00
68;RKL;8,00
68;PORT1000KJ;70,78
68;PORTS;15,00
68;PORTM;25,00
68;PORTL;35,00
69;KPL_M;1,00
69;PORT1000KJ;92,11
69;PORTS;30,00
69;PORTM;80,00
69;PORTL;140,00
70;KPL_M;0,10
70;TL;0,50
70;PORTS;0,10
70;PORTM;0,30
70;PORTL;0,50
73;KPL_M;3,00
73;PORT1000KJ;60,16
73;PORTS;20,00
73;PORTM;50,00
73;PORTL;100,00
74;RKL;15,00
74;TL;5,00
74;PORT1000KJ;136,05
74;PORTS;5,00
74;PORTM;15,00
74;PORTL;30,00
75;DL;100,00
75;RKL;15,00
75;TL;5,00
75;PORT1000KJ;2608,92
75;PORTS;200,00
75;PORTM;300,00
75;PORTL;400,00
79;DL;125,00
79;RKL;20,00
79;PORTS;1,00
79;PORTM;2,00
79;PORTL;3,00
79;TL;6,50
100;DL;55,00
100;RKL;8,00
100;PORT1000KJ;73,81
100;PORTS;15,00
100;PORTM;25,00
100;PORTL;35,00
103;DL;30,00
103;RKL;4,50
103;PORT1000KJ;82,11
103;PORTS;15,00
103;PORTM;25,00
103;PORTL;35,00
110;DL;65,00
110;RKL;10,00
110;PORT1000KJ;64,90
110;PORTS;15,00
110;PORTM;25,00
110;PORTL;35,00
111;DL;55,00
111;RKL;9,00
111;TL;3,00
111;PORT1000KJ;69,50
111;PORTS;15,00
111;PORTM;25,00
111;PORTL;35,00
112;DL;100,00
112;RKL;15,00
112;PORT1000KJ;75,58
112;PORTS;15,00
112;PORTM;25,00
112;PORTL;35,00
113;DL;100,00
113;RKL;15,00
113;PORT1000KJ;78,88
113;PORTS;15,00
113;PORTM;25,00
113;PORTL;35,00
114;DL;30,00
114;RKL;4,50
114;PORT1000KJ;73,42
114;PORTS;15,00
114;PORTM;25,00
114;PORTL;35,00
115;DL;25,00
115;RKL;5,00
115;TL;2,00
115;PORT1000KJ;66,30
115;PORTS;15,00
115;PORTM;25,00
115;PORTL;35,00
116;DL;20,00
116;RKL;3,00
116;PORT1000KJ;99,01
116;PORTS;15,00
116;PORTM;25,00
116;PORTL;35,00
117;DL;55,00
117;RKL;7,50
117;PORTS;55,00
117;KPL_M;70,00
117;PORTL;80,00
117;PORT1000KJ;73,02
119;DL;55,00
119;RKL;7,50
119;PORT1000KJ;67,29
119;PORTS;55,00
119;PORTM;70,00
119;PORTL;80,00
120;PORT1000KJ;68,94
120;PORTM;70,00
120;PORTL;80,00
120;PORTS;55,00
121;DL;60,00
121;PORT1000KJ;72,43
121;PORTS;55,00
121;PORTM;70,00
121;PORTL;80,00
123;DL;65,00
123;RKL;11,00
123;PORT1000KJ;224,30
123;PORTS;135,00
123;PORTM;175,00
123;PORTL;200,00
124;DL;55,00
124;RKL;9,00
124;PORT1000KJ;65,78
124;PORTS;15,00
124;PORTM;25,00
124;PORTL;35,00
125;DL;55,00
125;RKL;9,00
125;PORT1000KJ;76,17
125;PORTS;15,00
125;PORTM;25,00
125;PORTL;35,00
126;DL;50,00
126;RKL;7,00
126;PORT1000KJ;65,27
126;PORTS;15,00
126;PORTM;25,00
126;PORTL;35,00
133;PORTS;3,50
133;PORTM;8,50
133;PORTL;17,00
133;KPL_S;3,50
133;KPL_M;8,50
133;KPL_L;11,00
133;PORT1000KJ;56,39
142;DL;70,00
142;RKL;10,50
142;TL;3,50
142;PORT1000KJ;68,17
142;PORTS;15,00
142;PORTM;25,00
142;PORTL;35,00
150;DL;55,00
150;RKL;8,00
150;PORT1000KJ;73,00
150;PORTS;15,00
150;PORTM;25,00
150;PORTL;35,00
151;DL;85,00
151;RKL;12,50
151;PORT1000KJ;74,15
151;PORTS;15,00
151;PORTM;25,00
151;PORTL;35,00
152;DL;35,00
152;RKL;5,00
152;PORT1000KJ;72,32
152;PORTS;15,00
152;PORTM;25,00
152;PORTL;35,00
153;DL;40,00
153;RKL;6,00
153;PORT1000KJ;62,54
153;PORTS;15,00
153;PORTM;25,00
153;PORTL;35,00
154;DL;70,00
154;RKL;11,00
154;PORT1000KJ;73,63
154;PORTS;15,00
154;PORTM;25,00
154;PORTL;35,00
156;DL;85,00
156;RKL;12,50
156;PORTM;70,00
156;PORTS;50,00
156;PORTL;100,00
156;PORT1000KJ;69,81
158;PORTL;100,00
158;DL;85,00
158;RKL;12,50
158;PORT1000KJ;66,00
158;PORTS;50,00
158;PORTM;70,00
160;DL;80,00
160;RKL;12,00
160;PORT1000KJ;66,95
160;PORTS;15,00
160;PORTM;25,00
160;PORTL;35,00
161;DL;75,00
161;RKL;11,00
161;PORT1000KJ;74,07
161;PORTS;15,00
161;PORTM;25,00
161;PORTL;35,00
162;DL;60,00
162;RKL;9,50
162;PORT1000KJ;71,36
162;PORTS;15,00
162;PORTM;25,00
162;PORTL;35,00
163;DL;13,00
163;PORTL;35,00
163;PORTM;30,00
163;PORTS;25,00
163;PORT1000KJ;63,39
167;PORT1000KJ;67,44
167;PORTS;15,00
167;PORTM;25,00
167;PORTL;35,00
168;PORT1000KJ;78,16
168;PORTS;5,00
168;PORTM;15,00
168;PORTL;30,00
170;DL;60,00
170;RKL;9,00
170;PORT1000KJ;63,51
170;PORTS;15,00
170;PORTM;25,00
170;PORTL;35,00
172;PORT1000KJ;66,88
172;PORTS;55,00
172;PORTM;70,00
172;PORTL;80,00
173;DL;55,00
173;RKL;7,50
173;PORT1000KJ;66,18
173;PORTS;55,00
173;PORTM;70,00
173;PORTL;80,00
175;DL;70,00
175;PORT1000KJ;80,68
175;PORTS;15,00
175;PORTM;25,00
175;PORTL;35,00
176;PORT1000KJ;72,84
176;PORTS;15,00
176;PORTM;25,00
176;PORTL;35,00
177;PORT1000KJ;178,40
177;PORTS;70,00
177;PORTM;110,00
177;PORTL;150,00
182;DL;55,00
182;RKL;8,00
182;PORT1000KJ;64,99
182;PORTS;15,00
182;PORTM;25,00
182;PORTL;35,00
183;PORT1000KJ;71,37
183;PORTS;15,00
183;PORTM;25,00
183;PORTL;35,00
184;KPL_M;10,00
184;PORT1000KJ;50,05
184;PORTS;20,00
184;PORTM;50,00
184;PORTL;100,00
185;DL;60,00
185;PORT1000KJ;69,30
185;PORTS;15,00
185;PORTM;25,00
185;PORTL;35,00
186;DL;80,00
186;PORTM;175,00
186;PORTL;200,00
186;PORT1000KJ;222,94
186;PORTS;135,00
187;DL;65,00
187;RKL;11,00
187;PORTM;175,00
187;PORTL;200,00
187;PORT1000KJ;236,69
187;PORTS;135,00
188;DL;80,00
188;RKL;12,00
188;PORTM;175,00
188;PORTL;200,00
188;PORT1000KJ;234,87
188;PORTS;135,00
189;DL;60,00
189;RKL;9,00
189;PORT1000KJ;73,86
189;PORTS;15,00
189;PORTM;25,00
189;PORTL;35,00
190;DL;65,00
190;RKL;11,00
190;PORTL;200,00
190;PORT1000KJ;220,60
190;PORTS;135,00
190;PORTM;175,00
191;DL;65,00
191;RKL;11,00
191;PORTL;200,00
191;PORT1000KJ;215,41
191;PORTS;135,00
191;PORTM;175,00
202;PORT1000KJ;64,99
202;PORTS;20,00
202;PORTM;40,00
202;PORTL;60,00
203;KPL_S;1,00
203;KPL_M;2,00
203;KPL_L;3,00
203;DL;12,00
203;PORT1000KJ;45,86
203;PORTS;20,00
203;PORTM;50,00
203;PORTL;100,00
204;PORT1000KJ;307,22
204;PORTS;120,00
204;PORTM;180,00
204;PORTL;240,00
205;KPL_M;60,00
205;PORT1000KJ;313,94
205;PORTS;120,00
205;PORTM;180,00
205;PORTL;240,00
206;DL;75,00
206;RKL;11,00
206;PORT1000KJ;62,92
206;PORTS;20,00
206;PORTL;60,00
206;PORTM;35,00
207;PORT1000KJ;96,69
207;PORTS;125,00
207;PORTL;250,00
207;PORTM;180,00
209;DL;30,00
209;PORT1000KJ;66,12
209;PORTS;20,00
209;PORTM;40,00
209;PORTL;60,00
300;KPL_S;35,00
300;KPL_M;65,00
300;KPL_L;100,00
300;PORT1000KJ;730,73
300;PORTS;40,00
300;PORTM;60,00
300;PORTL;100,00
302;PORT1000KJ;88,47
302;PORTS;10,00
302;PORTM;15,00
302;PORTL;30,00
303;PORT1000KJ;828,50
303;PORTS;30,00
303;PORTM;60,00
303;PORTL;90,00
304;KPL_S;80,00
304;KPL_M;170,00
304;KPL_L;270,00
304;PORT1000KJ;871,84
304;PORTS;40,00
304;PORTM;60,00
304;PORTL;100,00
305;KPL_M;80,00
305;PORT1000KJ;622,66
305;PORTS;40,00
305;PORTM;60,00
305;PORTL;100,00
307;KPL_S;30,00
307;KPL_M;40,00
307;KPL_L;50,00
307;PORT1000KJ;671,14
307;PORTS;30,00
307;PORTL;90,00
307;PORTM;60,00
308;KPL_M;10,00
308;PORT1000KJ;1348,98
308;PORTS;40,00
308;PORTM;60,00
308;PORTL;100,00
309;KPL_S;100,00
309;KPL_M;150,00
309;KPL_L;200,00
309;PORT1000KJ;375,74
309;PORTS;40,00
309;PORTM;60,00
309;PORTL;100,00
310;KPL_M;70,00
310;PORT1000KJ;524,77
310;PORTS;40,00
310;PORTM;60,00
310;PORTL;100,00
311;KPL_S;200,00
311;KPL_M;600,00
311;KPL_L;800,00
311;PORT1000KJ;723,01
311;PORTS;40,00
311;PORTM;60,00
311;PORTL;100,00
312;KPL_M;180,00
312;PORT1000KJ;379,56
312;PORTS;40,00
312;PORTM;60,00
312;PORTL;100,00
313;DL;60,00
313;PORT1000KJ;702,89
313;PORTS;50,00
313;PORTM;80,00
313;PORTL;110,00
320;KPL_S;800,00
320;KPL_M;1200,00
320;KPL_L;1500,00
320;DL;40,00
320;PORT1000KJ;860,73
320;PORTM;60,00
320;PORTS;30,00
320;PORTL;90,00
321;DL;40,00
321;PORT1000KJ;920,64
321;PORTM;60,00
321;PORTL;90,00
321;PORTS;30,00
322;KPL_S;400,00
322;KPL_M;600,00
322;KPL_L;1000,00
322;DL;40,00
322;PORT1000KJ;993,44
322;PORTS;50,00
322;PORTM;100,00
322;PORTL;150,00
324;KPL_S;200,00
324;KPL_M;350,00
324;KPL_L;600,00
324;PORT1000KJ;681,71
324;PORTS;40,00
324;PORTM;60,00
324;PORTL;100,00
326;DL;50,00
326;PORT1000KJ;600,46
326;PORTS;20,00
326;PORTM;50,00
326;PORTL;100,00
327;KPL_M;15,00
327;DL;60,00
327;PORT1000KJ;977,90
327;PORTS;40,00
327;PORTM;60,00
327;PORTL;100,00
329;KPL_M;230,00
329;PORT1000KJ;945,54
329;PORTS;40,00
329;PORTM;60,00
329;PORTL;100,00
330;KPL_S;40,00
330;KPL_M;100,00
330;KPL_L;150,00
330;PORT1000KJ;1894,30
330;PORTS;20,00
330;PORTM;50,00
330;PORTL;100,00
331;KPL_M;500,00
331;DL;25,00
331;PORT1000KJ;1838,57
331;PORTS;20,00
331;PORTM;50,00
331;PORTL;100,00
333;PORTL;5,00
333;PORTM;2,00
333;PORTS;0,50
333;RKL;2,00
333;PORT1000KJ;874,05
334;DL;40,00
334;PORT1000KJ;549,63
334;PORTL;100,00
334;PORTS;20,00
334;PORTM;50,00
335;KPL_S;30,00
335;KPL_M;55,00
335;KPL_L;200,00
335;DL;90,00
335;PORT1000KJ;790,01
335;PORTS;40,00
335;PORTM;60,00
335;PORTL;100,00
336;RKL;9,00
336;TL;3,00
336;PORT1000KJ;87,89
336;PORTS;5,00
336;PORTM;10,00
336;PORTL;20,00
337;KPL_S;120,00
337;KPL_M;200,00
337;KPL_L;280,00
337;PORT1000KJ;1044,17
337;PORTS;40,00
337;PORTM;60,00
337;PORTL;100,00
338;KPL_M;165,00
338;DL;60,00
338;PORT1000KJ;709,57
338;PORTS;40,00
338;PORTM;60,00
338;PORTL;100,00
339;KPL_S;335,00
339;KPL_M;380,00
339;KPL_L;530,00
339;DL;50,00
339;PORT1000KJ;1881,82
339;PORTS;20,00
339;PORTM;50,00
339;PORTL;100,00
340;PORTL;60,00
340;PORTS;15,00
340;KPL_M;7,00
340;DL;55,00
340;PORT1000KJ;1542,73
340;PORTM;30,00
342;PORT1000KJ;864,75
342;PORTS;100,00
342;PORTM;200,00
342;PORTL;270,00
343;DL;80,00
343;PORT1000KJ;1024,38
343;PORTS;80,00
343;PORTM;150,00
343;PORTL;200,00
344;DL;60,00
344;PORT1000KJ;626,68
344;PORTM;60,00
344;PORTL;90,00
344;PORTS;30,00
345;KPL_S;5,00
345;KPL_M;15,00
345;DL;30,00
345;PORT1000KJ;1590,58
345;PORTS;100,00
345;PORTM;200,00
345;PORTL;270,00
346;KPL_S;250,00
346;KPL_M;400,00
346;KPL_L;600,00
346;DL;45,00
346;PORT1000KJ;2186,27
346;PORTS;40,00
346;PORTM;60,00
346;PORTL;100,00
347;KPL_S;70,00
347;KPL_M;100,00
347;KPL_L;200,00
347;PORT1000KJ;1205,25
347;PORTS;15,00
347;PORTM;30,00
347;PORTL;60,00
348;PORTL;60,00
348;PORTM;30,00
348;PORTS;15,00
348;KPL_S;70,00
348;KPL_M;100,00
348;KPL_L;200,00
348;PORT1000KJ;1198,04
350;KPL_M;600,00
350;PORT1000KJ;1504,89
350;PORTS;40,00
350;PORTM;60,00
350;PORTL;100,00
351;DL;120,00
351;RKL;18,00
351;PORT1000KJ;310,82
351;PORTS;10,00
351;PORTM;25,00
351;PORTL;40,00
352;KPL_S;75,00
352;KPL_M;125,00
352;KPL_L;170,00
352;PORT1000KJ;1049,54
352;PORTS;40,00
352;PORTM;60,00
352;PORTL;100,00
353;PORTL;50,00
353;PORTS;10,00
353;DL;120,00
353;RKL;18,00
353;TL;5,00
353;PORT1000KJ;261,97
353;PORTM;20,00
354;DL;90,00
354;PORT1000KJ;426,88
354;PORTS;5,00
354;PORTM;15,00
354;PORTL;30,00
355;KPL_S;120,00
355;KPL_M;170,00
355;KPL_L;230,00
355;PORT1000KJ;836,33
355;PORTS;40,00
355;PORTM;60,00
355;PORTL;100,00
356;DL;60,00
356;PORT1000KJ;857,27
356;PORTS;50,00
356;PORTM;80,00
356;PORTL;110,00
358;PORTL;300,00
358;PORTM;200,00
358;PORTS;150,00
358;DL;100,00
358;RKL;15,00
358;PORT1000KJ;727,91
359;KPL_S;300,00
359;KPL_M;850,00
359;KPL_L;1000,00
359;DL;25,00
359;PORT1000KJ;1196,32
359;PORTL;100,00
359;PORTS;20,00
359;PORTM;50,00
360;PORT1000KJ;1386,77
360;PORTL;100,00
360;PORTS;20,00
360;PORTM;50,00
362;KPL_S;200,00
362;KPL_M;400,00
362;KPL_L;500,00
362;DL;30,00
362;PORT1000KJ;1068,72
362;PORTS;40,00
362;PORTM;60,00
362;PORTL;100,00
363;PORT1000KJ;177,64
363;PORTS;40,00
363;PORTM;60,00
363;PORTL;100,00
364;PORT1000KJ;874,74
364;PORTS;20,00
364;PORTM;50,00
364;PORTL;100,00
367;KPL_S;25,00
367;KPL_M;40,00
367;KPL_L;60,00
367;DL;40,00
367;PORT1000KJ;890,00
367;PORTM;200,00
367;PORTS;100,00
367;PORTL;270,00
368;PORT1000KJ;1336,18
368;PORTS;115,00
368;PORTM;215,00
368;PORTL;285,00
369;PORTM;2,00
369;PORTS;0,50
369;PORTL;5,00
369;RKL;2,50
369;PORT1000KJ;798,21
370;DL;60,00
370;PORT1000KJ;317,88
370;PORTS;25,00
370;PORTM;45,00
370;PORTL;65,00
371;DL;85,00
371;PORT1000KJ;97,54
371;PORTS;5,00
371;PORTM;15,00
371;PORTL;30,00
372;KPL_M;15,00
372;DL;55,00
372;RKL;9,00
372;PORT1000KJ;670,51
372;PORTS;25,00
372;PORTM;45,00
372;PORTL;65,00
373;PORTS;30,00
373;DL;85,00
373;PORT1000KJ;78,31
373;PORTM;37,50
373;PORTL;45,00
375;KPL_M;1,00
375;DL;65,00
375;RKL;10,00
375;PORT1000KJ;37,11
375;PORTS;20,00
375;PORTM;50,00
375;PORTL;100,00
376;DL;60,00
376;PORT1000KJ;35,98
376;RKL;6,00
376;PORTS;20,00
376;PORTM;50,00
376;PORTL;100,00
377;KPL_M;15,00
377;PORT1000KJ;122,63
377;PORTS;20,00
377;PORTM;50,00
377;PORTL;100,00
378;KPL_M;0,70
378;DL;70,00
378;RKL;10,00
378;PORT1000KJ;43,13
378;PORTS;20,00
378;PORTM;50,00
378;PORTL;100,00
379;DL;70,00
379;RKL;10,00
379;PORT1000KJ;39,73
379;PORTS;20,00
379;PORTM;50,00
379;PORTL;100,00
380;DL;55,00
380;PORT1000KJ;51,24
380;PORTS;5,00
380;PORTM;15,00
380;PORTL;30,00
381;DL;55,00
381;PORT1000KJ;61,18
381;PORTS;5,00
381;PORTM;15,00
381;PORTL;30,00
382;DL;35,00
382;RKL;5,00
382;PORT1000KJ;36,17
382;PORTS;2,00
382;PORTM;5,00
382;PORTL;10,00
383;DL;65,00
383;RKL;10,00
383;PORT1000KJ;43,29
383;PORTS;20,00
383;PORTM;50,00
383;PORTL;100,00
384;KPL_M;0,40
384;DL;40,00
384;RKL;7,00
384;PORT1000KJ;666,22
384;PORTM;20,00
384;PORTL;50,00
384;PORTS;7,00
385;DL;60,00
385;RKL;8,50
385;TL;3,00
385;PORT1000KJ;39,07
385;PORTS;5,00
385;PORTM;15,00
385;PORTL;30,00
386;PORTL;100,00
386;KPL_S;120,00
386;KPL_M;170,00
386;KPL_L;230,00
386;PORT1000KJ;841,89
386;PORTS;40,00
386;PORTM;60,00
387;PORTL;100,00
387;KPL_S;120,00
387;KPL_M;170,00
387;KPL_L;230,00
387;PORT1000KJ;1124,35
387;PORTS;40,00
387;PORTM;60,00
388;KPL_S;120,00
388;KPL_M;170,00
388;KPL_L;230,00
388;PORT1000KJ;793,15
388;PORTS;40,00
388;PORTM;60,00
388;PORTL;100,00
389;KPL_S;200,00
389;KPL_M;350,00
389;KPL_L;450,00
389;PORT1000KJ;1323,80
389;PORTS;40,00
389;PORTM;60,00
389;PORTL;100,00
390;PORTL;300,00
390;PORTM;200,00
390;PORTS;150,00
390;DL;100,00
390;RKL;15,00
390;PORT1000KJ;1068,60
391;PORTM;37,50
391;DL;85,00
391;PORT1000KJ;63,88
391;PORTS;30,00
391;PORTL;45,00
392;DL;40,00
392;RKL;7,00
392;PORT1000KJ;1057,08
392;PORTS;0,50
392;PORTL;5,00
392;PORTM;2,00
393;PORTL;5,00
393;PORTM;2,00
393;PORTS;0,50
393;KPL_M;3,50
393;PORT1000KJ;220,69
394;DL;120,00
394;RKL;18,00
394;PORT1000KJ;185,33
394;PORTS;10,00
394;PORTM;25,00
394;PORTL;40,00
395;DL;70,00
395;PORT1000KJ;222,09
395;PORTS;60,00
395;PORTM;75,00
395;PORTL;90,00
396;DL;60,00
396;PORT1000KJ;289,96
396;PORTS;50,00
396;PORTM;80,00
396;PORTL;110,00
398;DL;100,00
398;RKL;15,00
398;PORT1000KJ;787,22
398;PORTS;40,00
398;PORTM;80,00
398;PORTL;150,00
399;PORTL;85,00
399;PORTM;60,00
399;PORTS;40,00
399;DL;80,00
399;PORT1000KJ;76,67
401;DL;25,00
401;PORT1000KJ;87,00
401;PORTS;10,00
401;PORTM;30,00
401;PORTL;60,00
408;KPL_M;20,00
408;DL;65,00
408;PORT1000KJ;325,87
408;PORTS;60,00
408;PORTM;110,00
408;PORTL;180,00
409;KPL_M;7,00
409;DL;50,00
409;PORT1000KJ;108,30
409;PORTS;20,00
409;PORTM;40,00
409;PORTL;60,00
411;KPL_M;45,00
411;DL;105,00
411;PORT1000KJ;360,33
411;PORTS;60,00
411;PORTM;110,00
411;PORTL;180,00
412;PORT1000KJ;85,25
412;PORTS;20,00
412;PORTL;60,00
412;PORTM;40,00
417;DL;95,00
417;PORT1000KJ;324,78
417;PORTS;60,00
417;PORTM;110,00
417;PORTL;180,00
423;KPL_M;7,00
423;DL;70,00
423;PORTS;70,00
423;PORTM;160,00
423;PORT1000KJ;322,32
423;PORTL;300,00
427;DL;65,00
427;PORT1000KJ;107,25
427;PORTS;20,00
427;PORTM;40,00
427;PORTL;60,00
428;KPL_M;0,40
428;DL;60,00
428;RKL;9,00
428;TL;3,00
428;PORT1000KJ;81,74
428;PORTS;20,00
428;PORTM;40,00
428;PORTL;60,00
431;PORTL;50,00
431;PORTM;20,00
431;PORTS;10,00
431;KPL_M;5,00
431;DL;30,00
431;PORT1000KJ;150,74
432;DL;70,00
432;PORT1000KJ;272,52
432;PORTS;60,00
432;PORTM;110,00
432;PORTL;180,00
433;DL;100,00
433;RKL;15,00
433;TL;5,00
433;PORTS;150,00
433;PORTM;200,00
433;PORTL;300,00
433;PORT1000KJ;520,10
434;DL;100,00
434;RKL;15,00
434;TL;5,00
434;PORTS;150,00
434;PORTM;200,00
434;PORTL;300,00
434;PORT1000KJ;517,97
435;DL;100,00
435;RKL;15,00
435;TL;5,00
435;PORTS;150,00
435;PORTM;200,00
435;PORTL;300,00
435;PORT1000KJ;584,76
436;DL;100,00
436;RKL;15,00
436;TL;5,00
436;PORTS;150,00
436;PORTM;200,00
436;PORTL;300,00
436;PORT1000KJ;535,42
437;DL;100,00
437;RKL;15,00
437;TL;5,00
437;PORTS;150,00
437;PORTM;200,00
437;PORTL;300,00
437;PORT1000KJ;1689,19
438;DL;100,00
438;RKL;15,00
438;PORTL;300,00
438;PORTM;200,00
438;PORTS;150,00
438;TL;5,00
438;PORT1000KJ;403,55
440;DL;60,00
440;RKL;12,00
440;PORT1000KJ;488,38
440;PORTS;60,00
440;PORTM;120,00
440;PORTL;180,00
441;DL;60,00
441;RKL;12,00
441;PORT1000KJ;734,70
441;PORTS;60,00
441;PORTM;120,00
441;PORTL;180,00
442;DL;60,00
442;RKL;12,00
442;PORT1000KJ;369,15
442;PORTS;60,00
442;PORTM;120,00
442;PORTL;180,00
444;DL;50,00
444;RKL;10,00
444;PORT1000KJ;322,48
444;PORTS;60,00
444;PORTM;120,00
444;PORTL;180,00
445;DL;50,00
445;RKL;10,00
445;PORTL;180,00
445;PORTM;120,00
445;PORTS;60,00
445;PORT1000KJ;421,82
446;DL;45,00
446;RKL;9,00
446;PORT1000KJ;598,95
446;PORTS;60,00
446;PORTM;120,00
446;PORTL;180,00
447;DL;50,00
447;RKL;10,00
447;PORT1000KJ;535,50
447;PORTS;60,00
447;PORTM;120,00
447;PORTL;180,00
448;DL;50,00
448;RKL;10,00
448;PORT1000KJ;501,96
448;PORTS;60,00
448;PORTM;120,00
448;PORTL;180,00
449;DL;50,00
449;RKL;10,00
449;PORT1000KJ;432,94
449;PORTS;60,00
